SMILES	Name	fsp3	hac	hba	hbd	mollogp	mw	narom	psa	qed	sascore
CCCCNC(=O)C1CCCN(C(=O)CCC(C)C)C1	ZINC50764925	0.875	20	4	1	2.578	282.231	0	49.41	0.728	2.421
COC(=O)c1cccc(CN2C(=O)NC(C)(c3ccc4c(c3)OCCO4)C2=O)c1	ZINC06394508	0.286	29	8	1	2.212	396.132	2	94.17	0.631	2.723
COc1cccc(N2CCN(C(=O)c3cnc(C)nc3C)C(C)C2=O)c1	ZINC65375610	0.368	26	7	0	1.98	354.169	2	75.63	0.847	2.823
CCc1c(C(=O)N2CCC(C(=O)NC)CC2)cnn1-c1ccccn1	ZINC31820077	0.444	25	7	1	1.428	341.185	2	80.12	0.922	2.324
CCN(C(C)=O)C1CC[NH+](Cc2ccc(C(=O)Nc3c(C)noc3C)cc2)C1	ZINC65395084	0.476	28	7	2	1.569	385.224	2	79.88	0.798	4.105
CCc1ccc(/C=C2/C(=O)N(C)C(=S)N2CC(=O)OC)s1	ZINC00205726	0.357	21	5	0	1.883	324.06	1	49.85	0.484	2.863
NC(=O)C1CCCCC1C(F)(F)F	ZINC01458151	0.875	13	2	2	1.84	195.087	0	43.09	0.686	3.242
Cc1ccccc1-c1noc(C[NH2+]Cc2ccc(S(N)(=O)=O)cc2)n1	ZINC65509149	0.176	25	7	4	0.956	359.118	3	115.69	0.69	2.937
CC(=O)Nc1ccc2nc(NC(=O)C3CC3c3ccco3)sc2c1	ZINC65513427	0.235	24	6	2	3.59	341.083	3	84.23	0.74	3.043
CC(CNC(=O)CCCc1nc(-c2ccco2)no1)N(C)c1ccccc1	ZINC65527100	0.35	27	7	1	3.293	368.185	3	84.4	0.613	2.881
C[NH+](C)C(Cc1ccccc1)C(=O)NNC(=O)c1ccccc1O	ZINC65575740	0.222	24	6	4	-0.091	328.166	2	82.87	0.597	3.201
Cc1nn(C)c(NC(C)c2ccc(C(F)(F)F)cc2)c1[N+](=O)[O-]	ZINC51855056	0.357	23	6	1	3.829	328.115	2	72.99	0.662	2.836
Cc1ccc(CNC(=O)C2=NOC(Cc3nc(-c4cccc(Br)c4)no3)C2)cc1	ZINC66088382	0.238	29	7	1	3.811	454.064	3	89.61	0.592	2.962
CCn1cc(NC(=O)c2cn(CC)nc2C)c(C(N)=O)n1	ZINC02782238	0.385	21	8	3	0.779	290.149	2	107.83	0.862	2.508
O=S(=O)(NCC(c1cccs1)N1CCc2ccccc21)c1ccc(F)cc1	ZINC04305585	0.2	27	4	1	3.97	402.087	3	49.41	0.655	2.691
